Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
물타고 물타고 오늘의 평단,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,1.0,False
이번주는 스테이블코인 관련,1,1_스테이블코인_오늘_두나무_매수,"['스테이블코인', '오늘', '두나무', '매수', 'me', 'naver', '개뿔', '기대감', '기다린다', 'tu']","['스테이블코인 기대감', 'https naver me Tu', '이번주는 스테이블코인 관련']",스테이블코인 - 오늘 - 두나무 - 매수 - me - naver - 개뿔 - 기대감 - 기다린다 - tu,0.8564561825800653,True
https naver me Tu,1,1_스테이블코인_오늘_두나무_매수,"['스테이블코인', '오늘', '두나무', '매수', 'me', 'naver', '개뿔', '기대감', '기다린다', 'tu']","['스테이블코인 기대감', 'https naver me Tu', '이번주는 스테이블코인 관련']",스테이블코인 - 오늘 - 두나무 - 매수 - me - naver - 개뿔 - 기대감 - 기다린다 - tu,0.8579494508689428,True
원화스테이블코인 발행호는,-1,-1_공매도_공매도의_개미가_디지털자산,"['공매도', '공매도의', '개미가', '디지털자산', '개미들만', '개미무덤', '가나', 'al뱅크로', '거품이', '거래세도']","['이것이 공매도의 힘의 진수를 보여주는', '공매도 등이라는 것은 주가에 거품이', '신한 한국은 망해야되 공매도 창구']",공매도 - 공매도의 - 개미가 - 디지털자산 - 개미들만 - 개미무덤 - 가나 - al뱅크로 - 거품이 - 거래세도,0.0,False
골드만삭스 헁님 들어왔음,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.9256726742285947,False
주있고 평단입니다 만원 손실,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.769320924505969,False
주담대 카카오 뱅크로 몰려,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.853223646656852,True
솔직히 이쯤이면 저점,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.9125097823057001,False
만원 정도에서,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.7558112210117293,False
주담대 잘나간다는데,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.9766140412238891,False
말로하는 Al이체 카카오 뱅크,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.8417015728046124,False
카카오톡 쉰내나게 업데이트되고나서,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,1.0,False
눈을 씻고 찾아봐도 안오른 주식,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.962586188408286,False
개미 꼬시기 한두번 당하나,-1,-1_공매도_공매도의_개미가_디지털자산,"['공매도', '공매도의', '개미가', '디지털자산', '개미들만', '개미무덤', '가나', 'al뱅크로', '거품이', '거래세도']","['이것이 공매도의 힘의 진수를 보여주는', '공매도 등이라는 것은 주가에 거품이', '신한 한국은 망해야되 공매도 창구']",공매도 - 공매도의 - 개미가 - 디지털자산 - 개미들만 - 개미무덤 - 가나 - al뱅크로 - 거품이 - 거래세도,0.0,False
오늘 원 안착하겠네여,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.9156304507761948,False
배당으로 포바이 주는건가,0,0_카카오_만원_카뱅_오를때,"['카카오', '만원', '카뱅', '오를때', '너무', '이제', '오늘', '공매도', '발바닥으로', '떨어지고']","['카카오 전종목 영구 상장폐지 시켜야', '오늘 나도 카뱅 주주나 해보자', '주담대 카카오 뱅크로 몰려']",카카오 - 만원 - 카뱅 - 오를때 - 너무 - 이제 - 오늘 - 공매도 - 발바닥으로 - 떨어지고,0.7841166786731931,False
이제좀 가나,-1,-1_공매도_공매도의_개미가_디지털자산,"['공매도', '공매도의', '개미가', '디지털자산', '개미들만', '개미무덤', '가나', 'al뱅크로', '거품이', '거래세도']","['이것이 공매도의 힘의 진수를 보여주는', '공매도 등이라는 것은 주가에 거품이', '신한 한국은 망해야되 공매도 창구']",공매도 - 공매도의 - 개미가 - 디지털자산 - 개미들만 - 개미무덤 - 가나 - al뱅크로 - 거품이 - 거래세도,0.0,False
시간투자 분할매수,-1,-1_공매도_공매도의_개미가_디지털자산,"['공매도', '공매도의', '개미가', '디지털자산', '개미들만', '개미무덤', '가나', 'al뱅크로', '거품이', '거래세도']","['이것이 공매도의 힘의 진수를 보여주는', '공매도 등이라는 것은 주가에 거품이', '신한 한국은 망해야되 공매도 창구']",공매도 - 공매도의 - 개미가 - 디지털자산 - 개미들만 - 개미무덤 - 가나 - al뱅크로 - 거품이 - 거래세도,0.0,False
