Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
내일은 만원 넘겠네,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
외국인 프로그램 공매도물량만주끝났다,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
차상법개정,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
속보 호재 상법개정안 곧 통과소,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
카아악,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
월배당금 원이상가겠지,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
오늘신고가 텃치,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
미금리 인하 기대감으로 오르는데,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
오늘 퍼는 올라가야지 뭐하냐,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
삼성증권 목표가 만원,1,1_삼성증권_삼성_상승_ai,"['삼성증권', '삼성', '상승', 'ai', '내가', '거지들', '경영실적', '그룹에서', '한투에', '마이']","['삼성증권 저평가주', '고배당주 삼성증권', '삼성증권 파는 삼성증권']",삼성증권 - 삼성 - 상승 - ai - 내가 - 거지들 - 경영실적 - 그룹에서 - 한투에 - 마이,1.0,False
배당금 월원정도 주는종목이 이게뭐,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
원 뭐냐 오늘 대박 상승이다,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
화요일은 개뿔이,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
금요일에 사서 화요일에 팔아라 증시 수익률 가,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
영국 듣보잡 매년 적자 반도체 회사 상장 주관,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
뉴욕증시 연준 트럼프 양대 풋 에 반등 동반,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
삼성증권 월에 발행어음 승인 신청,1,1_삼성증권_삼성_상승_ai,"['삼성증권', '삼성', '상승', 'ai', '내가', '거지들', '경영실적', '그룹에서', '한투에', '마이']","['삼성증권 저평가주', '고배당주 삼성증권', '삼성증권 파는 삼성증권']",삼성증권 - 삼성 - 상승 - ai - 내가 - 거지들 - 경영실적 - 그룹에서 - 한투에 - 마이,1.0,False
월배당금 찬바람이 불어온다,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
배당,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
월배당금 원 자사주 소각,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
월배당금 원 주는종목이 허허 반도,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,True
분기도 실적좋단다,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
줍줍,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
새로운 리서치가 있어요,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
오늘 장초 에 담았습니다,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
줍줍시간,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
다음주에 만원 찍을듯,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
월배당금 원 이상간다,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
지금 당장 만원 밑에 매수하고 크리스마스 만,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
내일은 엠비디아 미국 주식무조건오른다,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
월배당금 원 이상주는종목이 어,0,0_월배당금_만원_오늘_실적,"['월배당금', '만원', '오늘', '실적', '배당', '분기', '주가', '폭등이다', '국내', '정부는']","['월배당금 원 주는종목이 허허 반도', '오늘 왜', '월배당금 원 원']",월배당금 - 만원 - 오늘 - 실적 - 배당 - 분기 - 주가 - 폭등이다 - 국내 - 정부는,1.0,False
