Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
저점에서 거래량 없는 상승은,-1,-1_반도체_씨게_반등_오늘장,"['반도체', '씨게', '반등', '오늘장', '기관', '전부', '오늘', '거짓인가', '거니께', '개미들만']","['필라델피아 반도체 오늘', '오늘 반도체 씨게 갈 거니께 기달려', '오늘 반도체 불장이라 반등 씨게 나올 거거']",반도체 - 씨게 - 반등 - 오늘장 - 기관 - 전부 - 오늘 - 거짓인가 - 거니께 - 개미들만,0.0,False
언넝 팔고들 나가,-1,-1_반도체_씨게_반등_오늘장,"['반도체', '씨게', '반등', '오늘장', '기관', '전부', '오늘', '거짓인가', '거니께', '개미들만']","['필라델피아 반도체 오늘', '오늘 반도체 씨게 갈 거니께 기달려', '오늘 반도체 불장이라 반등 씨게 나올 거거']",반도체 - 씨게 - 반등 - 오늘장 - 기관 - 전부 - 오늘 - 거짓인가 - 거니께 - 개미들만,0.0,False
아침에 공매 좀 해보려햇던 신한이 쫄아서,0,0_아침에_오늘_단타루다가_공매,"['아침에', '오늘', '단타루다가', '공매', '가야', '원대', '원은', '오전중으루다가', '어떻게', '어게인']","['야 이거 완전 헐값이다 전재산 몰빵쳐라', '아침에 공매 좀 해보려햇던 신한이 쫄아서', '오전중으루다가 원은 넘을 거여']",아침에 - 오늘 - 단타루다가 - 공매 - 가야 - 원대 - 원은 - 오전중으루다가 - 어떻게 - 어게인,1.0,True
인도 반도체후공정,-1,-1_반도체_씨게_반등_오늘장,"['반도체', '씨게', '반등', '오늘장', '기관', '전부', '오늘', '거짓인가', '거니께', '개미들만']","['필라델피아 반도체 오늘', '오늘 반도체 씨게 갈 거니께 기달려', '오늘 반도체 불장이라 반등 씨게 나올 거거']",반도체 - 씨게 - 반등 - 오늘장 - 기관 - 전부 - 오늘 - 거짓인가 - 거니께 - 개미들만,0.0,False
조금이라도 쳐먹으면,0,0_아침에_오늘_단타루다가_공매,"['아침에', '오늘', '단타루다가', '공매', '가야', '원대', '원은', '오전중으루다가', '어떻게', '어게인']","['야 이거 완전 헐값이다 전재산 몰빵쳐라', '아침에 공매 좀 해보려햇던 신한이 쫄아서', '오전중으루다가 원은 넘을 거여']",아침에 - 오늘 - 단타루다가 - 공매 - 가야 - 원대 - 원은 - 오전중으루다가 - 어떻게 - 어게인,0.7894424367272573,False
쳐물린 개미나 공매 알바 아니고서는,0,0_아침에_오늘_단타루다가_공매,"['아침에', '오늘', '단타루다가', '공매', '가야', '원대', '원은', '오전중으루다가', '어떻게', '어게인']","['야 이거 완전 헐값이다 전재산 몰빵쳐라', '아침에 공매 좀 해보려햇던 신한이 쫄아서', '오전중으루다가 원은 넘을 거여']",아침에 - 오늘 - 단타루다가 - 공매 - 가야 - 원대 - 원은 - 오전중으루다가 - 어떻게 - 어게인,1.0,False
외국인 기관 만주 매도중,-1,-1_반도체_씨게_반등_오늘장,"['반도체', '씨게', '반등', '오늘장', '기관', '전부', '오늘', '거짓인가', '거니께', '개미들만']","['필라델피아 반도체 오늘', '오늘 반도체 씨게 갈 거니께 기달려', '오늘 반도체 불장이라 반등 씨게 나올 거거']",반도체 - 씨게 - 반등 - 오늘장 - 기관 - 전부 - 오늘 - 거짓인가 - 거니께 - 개미들만,0.0,False
다시가려면 한참남았으니까,0,0_아침에_오늘_단타루다가_공매,"['아침에', '오늘', '단타루다가', '공매', '가야', '원대', '원은', '오전중으루다가', '어떻게', '어게인']","['야 이거 완전 헐값이다 전재산 몰빵쳐라', '아침에 공매 좀 해보려햇던 신한이 쫄아서', '오전중으루다가 원은 넘을 거여']",아침에 - 오늘 - 단타루다가 - 공매 - 가야 - 원대 - 원은 - 오전중으루다가 - 어떻게 - 어게인,0.9366558217253015,False
오늘,2,2_영차_탕탕_전형적인_누가,"['영차', '탕탕', '전형적인', '누가', 'ir에서', '개잡주', '그래두', '에라이', '사상', '새로운']","['분기 사상 최대실적임에도', '전형적인 절리도식 차트', '탕탕 후르후르 탕탕']",영차 - 탕탕 - 전형적인 - 누가 - ir에서 - 개잡주 - 그래두 - 에라이 - 사상 - 새로운,0.70027540950604,False
거래량 만 절리도게잡주,0,0_아침에_오늘_단타루다가_공매,"['아침에', '오늘', '단타루다가', '공매', '가야', '원대', '원은', '오전중으루다가', '어떻게', '어게인']","['야 이거 완전 헐값이다 전재산 몰빵쳐라', '아침에 공매 좀 해보려햇던 신한이 쫄아서', '오전중으루다가 원은 넘을 거여']",아침에 - 오늘 - 단타루다가 - 공매 - 가야 - 원대 - 원은 - 오전중으루다가 - 어떻게 - 어게인,0.9953645384437142,False
