ticker,topic,topic_label,n,mean_sent,pos_ratio,top_words
SK텔레콤,1,SK텔레콤 | T1(외인/npu),32,-0.8125,0.09375,"외인, npu, 가치주, winnner, 개기름"
LG생활건강,1,LG생활건강 | T1(구조조정/야금),43,-0.6744186046511628,0.16279069767441862,"구조조정, 야금, ai, 연기금, 그거여"
두산밥캣,2,두산밥캣 | T2(견과류/권리락),27,-0.6296296296296297,0.18518518518518517,"견과류, 권리락, 그림이, 꼴랑, 누르는"
우리금융지주,1,우리금융지주 | T1(버텨/될것인가),37,-0.5675675675675675,0.21621621621621623,"버텨, 될것인가, 자가, 위아래, 궁금한게"
엔씨소프트,1,엔씨소프트 | T1(치열한/종목),25,-0.44,0.28,"치열한, 종목, 시청자수, 실제후기, 아이온"
LG생활건강,2,LG생활건강 | T2(만원/기부는),18,0.1111111111111111,0.5555555555555556,"만원, 기부는, 공매, 존나, 가격에만"
삼성에스디에스,0,삼성에스디에스 | T0(오늘/개잡주),156,0.2564102564102564,0.6282051282051282,"오늘, 개잡주, 이유, 하락조작, 동시호가"
한진칼,1,한진칼 | T1(골드만/골드만성님),32,0.3125,0.65625,"골드만, 골드만성님, 공매, 모간, 형님"
하나금융지주,0,하나금융지주 | T0(오늘/매도),154,0.37662337662337664,0.6883116883116883,"오늘, 매도, 배당, 자사주, 일단"
한진칼,0,한진칼 | T0(공매/공매도),163,0.38650306748466257,0.6932515337423313,"공매, 공매도, 오늘, 매수, 기타법인"
두산,1,두산 | T1(환율/거래량),23,0.391304347826087,0.6956521739130435,"환율, 거래량, 동시호가, 종가, msci"
SK,0,SK | T0(오늘/자사주),175,0.4057142857142857,0.7028571428571428,"오늘, 자사주, 코스피, 전과범, 개잡주"
SK,1,SK | T1(sk/pbr),20,0.5,0.75,"sk, pbr, per, 수급, 전망"
엔씨소프트,0,엔씨소프트 | T0(아이온/결과),72,0.5555555555555556,0.7777777777777778,"아이온, 결과, 고객센터, 말고, 대박"
하나금융지주,1,하나금융지주 | T1(요약/배당),37,0.6216216216216216,0.8108108108108109,"요약, 배당, 세대는, 성공적, 분기"
