Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
DB 가 오르면 안되는 이유가 뭘까,-1,-1_db손보_db_주가_전망,"['db손보', 'db', '주가', '전망', 'db손해보험', '경영권', '분쟁', '배당금', '분기', '고배당에']","['DB손보 경영권 분쟁 속 매각 가능성은', 'DB손해보험 주가 전망 및 배당금 분', 'DB손해보험 주가 전망 배당금 정']",db손보 - db - 주가 - 전망 - db손해보험 - 경영권 - 분쟁 - 배당금 - 분기 - 고배당에,0.0,False
DB제조업 부흥의 시작이 되지 않겠습니까,-1,-1_db손보_db_주가_전망,"['db손보', 'db', '주가', '전망', 'db손해보험', '경영권', '분쟁', '배당금', '분기', '고배당에']","['DB손보 경영권 분쟁 속 매각 가능성은', 'DB손해보험 주가 전망 및 배당금 분', 'DB손해보험 주가 전망 배당금 정']",db손보 - db - 주가 - 전망 - db손해보험 - 경영권 - 분쟁 - 배당금 - 분기 - 고배당에,0.0,False
장대음봉 터지길래,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
AI 요약 DB손해보험이 투자주의 소수,1,1_보험_분기_db손해보험_리뷰,"['보험', '분기', 'db손해보험', '리뷰', '년차', '실적', '손보', '기후위기', '금융당국', '맞물린']","['손보 사 분기 장기보험손익 비교 년차', '손보 사 분기 실적 보험손익편 년차', 'DB손해보험 년 분기 실적 배당 리뷰']",보험 - 분기 - db손해보험 - 리뷰 - 년차 - 실적 - 손보 - 기후위기 - 금융당국 - 맞물린,1.0,False
어차피 망할 회사도 아니고,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
개미들아,-1,-1_db손보_db_주가_전망,"['db손보', 'db', '주가', '전망', 'db손해보험', '경영권', '분쟁', '배당금', '분기', '고배당에']","['DB손보 경영권 분쟁 속 매각 가능성은', 'DB손해보험 주가 전망 및 배당금 분', 'DB손해보험 주가 전망 배당금 정']",db손보 - db - 주가 - 전망 - db손해보험 - 경영권 - 분쟁 - 배당금 - 분기 - 고배당에,0.0,False
DB손보 경영권 분쟁 속 매각 가능성은,-1,-1_db손보_db_주가_전망,"['db손보', 'db', '주가', '전망', 'db손해보험', '경영권', '분쟁', '배당금', '분기', '고배당에']","['DB손보 경영권 분쟁 속 매각 가능성은', 'DB손해보험 주가 전망 및 배당금 분', 'DB손해보험 주가 전망 배당금 정']",db손보 - db - 주가 - 전망 - db손해보험 - 경영권 - 분쟁 - 배당금 - 분기 - 고배당에,0.0,True
올해,-1,-1_db손보_db_주가_전망,"['db손보', 'db', '주가', '전망', 'db손해보험', '경영권', '분쟁', '배당금', '분기', '고배당에']","['DB손보 경영권 분쟁 속 매각 가능성은', 'DB손해보험 주가 전망 및 배당금 분', 'DB손해보험 주가 전망 배당금 정']",db손보 - db - 주가 - 전망 - db손해보험 - 경영권 - 분쟁 - 배당금 - 분기 - 고배당에,0.0,False
새로운 리서치가 있어요,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
이거,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
바닥이 어딘가요,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
이상 하락했어요,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,0.9758156046531364,False
악질,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
굳이,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
배당락도 아니고 무섭게 하락한다,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
DB손보 DB그룹 지주사 전환 효과보나,-1,-1_db손보_db_주가_전망,"['db손보', 'db', '주가', '전망', 'db손해보험', '경영권', '분쟁', '배당금', '분기', '고배당에']","['DB손보 경영권 분쟁 속 매각 가능성은', 'DB손해보험 주가 전망 및 배당금 분', 'DB손해보험 주가 전망 배당금 정']",db손보 - db - 주가 - 전망 - db손해보험 - 경영권 - 분쟁 - 배당금 - 분기 - 고배당에,0.0,False
금요일에 외국인들이 왜 매수했는지 궁금하네,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
줍줍할때,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
얘는 상법개정이랑 지분싸움 보고가는거야,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
어우야,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
주식 투자 참 어렵게 하는듯,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
왜 던지는지 설명,0,0_자사주_소각_배당금_배당,"['자사주', '소각', '배당금', '배당', '배당소득', '분리과세', '계속', '어제', '분기', '금융주']","['자사주 소각 년도 긴데', '삭제된 게시물의 답글 자사주 소각 안한다 뉴스', '배당 분리과세 자사주 소각 관련 차 상법']",자사주 - 소각 - 배당금 - 배당 - 배당소득 - 분리과세 - 계속 - 어제 - 분기 - 금융주,1.0,False
