Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
초보주린입니다,0,0_오늘_조정_다시_말했제,"['오늘', '조정', '다시', '말했제', '매수금지', '중기', '차전지', '아니라', '자사주', '단기조정이']","['오늘 몇프로 내리면 만인지 모르겠지만', '이번 조정은 단기조정이 아니라 중기 조정', '조정은 단기조정이 아니라 중기 조정']",오늘 - 조정 - 다시 - 말했제 - 매수금지 - 중기 - 차전지 - 아니라 - 자사주 - 단기조정이,0.7992577165434117,False
LG화학 동동그라모,3,3_lg화학_lg엔솔_lg화학에_lg화학은,"['lg화학', 'lg엔솔', 'lg화학에', 'lg화학은', '지수', 'lg화학의', 'lg화학이', '건전성', '나중에', '논리']","['LG화학 대표와 대주주는 혀를 잘라라', 'LG화학 흑자전환 불구 재무 건전성 악화', 'LG화학']",lg화학 - lg엔솔 - lg화학에 - lg화학은 - 지수 - lg화학의 - lg화학이 - 건전성 - 나중에 - 논리,1.0,False
어렵다,1,1_오늘도_개미매수_관심종목_개잡주,"['오늘도', '개미매수', '관심종목', '개잡주', '구강모', '구광모라는', '근성', '급락', '기다리는', '기다린']","['오늘도 개미매수', '만 초반대 올매도하고 만까지 기다리는', '어찌 석일만 방송 하면 급락 하지']",오늘도 - 개미매수 - 관심종목 - 개잡주 - 구강모 - 구광모라는 - 근성 - 급락 - 기다리는 - 기다린,1.0,False
다끝났네요,0,0_오늘_조정_다시_말했제,"['오늘', '조정', '다시', '말했제', '매수금지', '중기', '차전지', '아니라', '자사주', '단기조정이']","['오늘 몇프로 내리면 만인지 모르겠지만', '이번 조정은 단기조정이 아니라 중기 조정', '조정은 단기조정이 아니라 중기 조정']",오늘 - 조정 - 다시 - 말했제 - 매수금지 - 중기 - 차전지 - 아니라 - 자사주 - 단기조정이,0.8200948682274773,False
구각모,1,1_오늘도_개미매수_관심종목_개잡주,"['오늘도', '개미매수', '관심종목', '개잡주', '구강모', '구광모라는', '근성', '급락', '기다리는', '기다린']","['오늘도 개미매수', '만 초반대 올매도하고 만까지 기다리는', '어찌 석일만 방송 하면 급락 하지']",오늘도 - 개미매수 - 관심종목 - 개잡주 - 구강모 - 구광모라는 - 근성 - 급락 - 기다리는 - 기다린,1.0,False
이제 다시 줍줍해보자,0,0_오늘_조정_다시_말했제,"['오늘', '조정', '다시', '말했제', '매수금지', '중기', '차전지', '아니라', '자사주', '단기조정이']","['오늘 몇프로 내리면 만인지 모르겠지만', '이번 조정은 단기조정이 아니라 중기 조정', '조정은 단기조정이 아니라 중기 조정']",오늘 - 조정 - 다시 - 말했제 - 매수금지 - 중기 - 차전지 - 아니라 - 자사주 - 단기조정이,0.7252531185098791,False
이번 조정은 단기조정이 아니라 중기 조정,0,0_오늘_조정_다시_말했제,"['오늘', '조정', '다시', '말했제', '매수금지', '중기', '차전지', '아니라', '자사주', '단기조정이']","['오늘 몇프로 내리면 만인지 모르겠지만', '이번 조정은 단기조정이 아니라 중기 조정', '조정은 단기조정이 아니라 중기 조정']",오늘 - 조정 - 다시 - 말했제 - 매수금지 - 중기 - 차전지 - 아니라 - 자사주 - 단기조정이,0.6573815044915927,True
코스피 조정장이네요,0,0_오늘_조정_다시_말했제,"['오늘', '조정', '다시', '말했제', '매수금지', '중기', '차전지', '아니라', '자사주', '단기조정이']","['오늘 몇프로 내리면 만인지 모르겠지만', '이번 조정은 단기조정이 아니라 중기 조정', '조정은 단기조정이 아니라 중기 조정']",오늘 - 조정 - 다시 - 말했제 - 매수금지 - 중기 - 차전지 - 아니라 - 자사주 - 단기조정이,0.8676517557476283,False
개 왈왈이도 안 쳐다 본다,-1,-1_머니을_준비하라_년도_엘화,"['머니을', '준비하라', '년도', '엘화', 'k배터리', '개미만', '거래일', 'ai랑', '반도체도', '경쟁력있는']","['머니을 준비하라 년 급성장', '빅 호재 머니을 준비하라', '머니을 준비하라']",머니을 - 준비하라 - 년도 - 엘화 - k배터리 - 개미만 - 거래일 - ai랑 - 반도체도 - 경쟁력있는,0.0,False
하루에,1,1_오늘도_개미매수_관심종목_개잡주,"['오늘도', '개미매수', '관심종목', '개잡주', '구강모', '구광모라는', '근성', '급락', '기다리는', '기다린']","['오늘도 개미매수', '만 초반대 올매도하고 만까지 기다리는', '어찌 석일만 방송 하면 급락 하지']",오늘도 - 개미매수 - 관심종목 - 개잡주 - 구강모 - 구광모라는 - 근성 - 급락 - 기다리는 - 기다린,0.7212957860547853,False
