Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
이 불장에도 하락마감 왜이리 못가냐,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
못 가는이유가,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
장 요약 예실차 확대 보험,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
물렸다,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
퍼 장에 만 개인뺴고,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
새로운 리서치가 있어요,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
이상 상승했어요,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
AI 요약 삼성화재 년 분기,1,1_삼성화재_삼성화재를_분기_삼성,"['삼성화재', '삼성화재를', '분기', '삼성', '보험', '컨콜', '리뷰', '사겠다던', '핵심종목', '만원에']","['삼성화재 분기 컨콜 리포트 리뷰 년', '삼성화재', '삼성화재 굿']",삼성화재 - 삼성화재를 - 분기 - 삼성 - 보험 - 컨콜 - 리뷰 - 사겠다던 - 핵심종목 - 만원에,0.8418385846541072,False
실적이 영 그렇네요 주가는 신고가 근처인데,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
꼴아박을시간,0,0_대주주_양도세_손보_분기,"['대주주', '양도세', '손보', '분기', '비교', '청원', '요약', '실적이', '코스피', '폐지']","['대주주 양도세 하향 반대 청원', '국민청원 억 대주주 양도세 폐지 동', '억 대주주 양도세 폐지 국민청원 동의 요']",대주주 - 양도세 - 손보 - 분기 - 비교 - 청원 - 요약 - 실적이 - 코스피 - 폐지,1.0,False
