Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
참 어렵다,1,1_실적_조것든_ai가_갯철곤,"['실적', '조것든', 'ai가', '갯철곤', '것이', '굿럭', '껄껄', '낮짝이', '나는', '농심이']","['실적 굿', '조것든', '실적']",실적 - 조것든 - ai가 - 갯철곤 - 것이 - 굿럭 - 껄껄 - 낮짝이 - 나는 - 농심이,1.0,False
집에가서,-1,-1_코코아_공매도_선물_리밸런싱,"['코코아', '공매도', '선물', '리밸런싱', '떨어짐', '개미들', '가격', '주식', '요약', '원재료']","['최근 몇일간 코코아 선물 떨어짐', '코코아 선물 가격 폭락', '코코아 선물 어제 떨어짐']",코코아 - 공매도 - 선물 - 리밸런싱 - 떨어짐 - 개미들 - 가격 - 주식 - 요약 - 원재료,0.0,False
지지력 개쎄노,0,0_어히_게쌉칠고히_오리온_오늘도,"['어히', '게쌉칠고히', '오리온', '오늘도', '오늘', '말여', '오늘은', '잃을게', '워렌버핏의', '어희']","['어히 게쌉칠고히 오늘은 말여', '어히 게쌉칠고히 오늘도', '어히 게쌉칠고히']",어히 - 게쌉칠고히 - 오리온 - 오늘도 - 오늘 - 말여 - 오늘은 - 잃을게 - 워렌버핏의 - 어희,0.8255429809766474,False
오늘 매동 생각을 해보니 패시브자금 이탈인,0,0_어히_게쌉칠고히_오리온_오늘도,"['어히', '게쌉칠고히', '오리온', '오늘도', '오늘', '말여', '오늘은', '잃을게', '워렌버핏의', '어희']","['어히 게쌉칠고히 오늘은 말여', '어히 게쌉칠고히 오늘도', '어히 게쌉칠고히']",어히 - 게쌉칠고히 - 오리온 - 오늘도 - 오늘 - 말여 - 오늘은 - 잃을게 - 워렌버핏의 - 어희,0.8830042022897556,False
이게 퇴출 될 종목이 아닌데,-1,-1_코코아_공매도_선물_리밸런싱,"['코코아', '공매도', '선물', '리밸런싱', '떨어짐', '개미들', '가격', '주식', '요약', '원재료']","['최근 몇일간 코코아 선물 떨어짐', '코코아 선물 가격 폭락', '코코아 선물 어제 떨어짐']",코코아 - 공매도 - 선물 - 리밸런싱 - 떨어짐 - 개미들 - 가격 - 주식 - 요약 - 원재료,0.0,False
근디 만주 누가 받은겨,-1,-1_코코아_공매도_선물_리밸런싱,"['코코아', '공매도', '선물', '리밸런싱', '떨어짐', '개미들', '가격', '주식', '요약', '원재료']","['최근 몇일간 코코아 선물 떨어짐', '코코아 선물 가격 폭락', '코코아 선물 어제 떨어짐']",코코아 - 공매도 - 선물 - 리밸런싱 - 떨어짐 - 개미들 - 가격 - 주식 - 요약 - 원재료,0.0,False
만주면,1,1_실적_조것든_ai가_갯철곤,"['실적', '조것든', 'ai가', '갯철곤', '것이', '굿럭', '껄껄', '낮짝이', '나는', '농심이']","['실적 굿', '조것든', '실적']",실적 - 조것든 - ai가 - 갯철곤 - 것이 - 굿럭 - 껄껄 - 낮짝이 - 나는 - 농심이,0.8229871652374164,False
오늘 물량 나간거에 비해 크게 선방이네,0,0_어히_게쌉칠고히_오리온_오늘도,"['어히', '게쌉칠고히', '오리온', '오늘도', '오늘', '말여', '오늘은', '잃을게', '워렌버핏의', '어희']","['어히 게쌉칠고히 오늘은 말여', '어히 게쌉칠고히 오늘도', '어히 게쌉칠고히']",어히 - 게쌉칠고히 - 오리온 - 오늘도 - 오늘 - 말여 - 오늘은 - 잃을게 - 워렌버핏의 - 어희,1.0,False
와우,1,1_실적_조것든_ai가_갯철곤,"['실적', '조것든', 'ai가', '갯철곤', '것이', '굿럭', '껄껄', '낮짝이', '나는', '농심이']","['실적 굿', '조것든', '실적']",실적 - 조것든 - ai가 - 갯철곤 - 것이 - 굿럭 - 껄껄 - 낮짝이 - 나는 - 농심이,0.8477124831325148,False
어히 게쌉칠고히 오늘 msci 패시브 자금,-1,-1_코코아_공매도_선물_리밸런싱,"['코코아', '공매도', '선물', '리밸런싱', '떨어짐', '개미들', '가격', '주식', '요약', '원재료']","['최근 몇일간 코코아 선물 떨어짐', '코코아 선물 가격 폭락', '코코아 선물 어제 떨어짐']",코코아 - 공매도 - 선물 - 리밸런싱 - 떨어짐 - 개미들 - 가격 - 주식 - 요약 - 원재료,0.0,False
