Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
공시 닉네임 변경,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
동시호가 이런 거래는 필연적인 것,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,0.8791601115908344,False
버티면 올르겠다 상환하느냐고 난리,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
재명아 이러고도,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
동시호가에 매수벽 에 몇십만,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,0.9081595083141588,False
동시호가 만주 뭔데 듣보잡 외,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
월선물만기일만에드림,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,0.9081595083141588,False
대충 주주들한테 주당 만원씩 분배하고,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,0.9081595083141588,False
공정걸레소 금간원,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,0.9215302863669591,False
매일,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
년 OLED 호황이라고 하는데,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,0.9093880386464432,False
모하는걸까 도대체,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
영업이익 조 단위를 바라보는 회사,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
신한빤쯔까정탈탈털어담자,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
원 아래위로 한참 왔다갔다,0,0_으이구_잉여인원_정리하라_오늘,"['으이구', '잉여인원', '정리하라', '오늘', '오늘도', '올해', '코스피', '이제', '무배당', '동시호가']","['으이구 으이구 으이구', '잉여인원 정리하라 e는왜돌리냐 전기세아', '잉여인원 정리하라']",으이구 - 잉여인원 - 정리하라 - 오늘 - 오늘도 - 올해 - 코스피 - 이제 - 무배당 - 동시호가,1.0,False
