Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
에프터시장 저 병아리 오줌 만한 거래량으로는,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,0.7935801503910127,False
어쩐일이고,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,0.9728175496239602,False
들어오면 내일 뒤진다 진심,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,1.0,False
모간이애들 공매 숏커버링 들어오네,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,0.8659809000563159,False
내일장,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,1.0,False
뭐냐 이거,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,1.0,False
공매 막판 찐패대기,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,0.9718763261826989,False
원태와 개미,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,0.7420510406702909,False
종가 합주 마저 채웁니다,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,1.0,False
님들아 마지막 기회였어,0,0_공매_공매도_오늘_매수,"['공매', '공매도', '오늘', '매수', '기타법인', '호반', '종가', '쑈쑈쑈', '설랬냐', '이거']","['기타법인 매일 매수', '기타법인 매수', '공매']",공매 - 공매도 - 오늘 - 매수 - 기타법인 - 호반 - 종가 - 쑈쑈쑈 - 설랬냐 - 이거,1.0,False
