Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
잡귀,1,1_ai등_hmm은_la항_가까워진다는,"['ai등', 'hmm은', 'la항', '가까워진다는', '강행', '개인', '거래일', '계좌', '고수의', '국고환수']","['HMM은 대한해운을 인수하고 AI등 유망', '향후 흠 주가흐름에 대한 예측치 그래프', '노조 이것들 모조리 짜르고 부산이전 강행']",ai등 - hmm은 - la항 - 가까워진다는 - 강행 - 개인 - 거래일 - 계좌 - 고수의 - 국고환수,1.0,False
약속대련,1,1_ai등_hmm은_la항_가까워진다는,"['ai등', 'hmm은', 'la항', '가까워진다는', '강행', '개인', '거래일', '계좌', '고수의', '국고환수']","['HMM은 대한해운을 인수하고 AI등 유망', '향후 흠 주가흐름에 대한 예측치 그래프', '노조 이것들 모조리 짜르고 부산이전 강행']",ai등 - hmm은 - la항 - 가까워진다는 - 강행 - 개인 - 거래일 - 계좌 - 고수의 - 국고환수,1.0,False
팩트는 현금성 자산에 가까워진다는 것,1,1_ai등_hmm은_la항_가까워진다는,"['ai등', 'hmm은', 'la항', '가까워진다는', '강행', '개인', '거래일', '계좌', '고수의', '국고환수']","['HMM은 대한해운을 인수하고 AI등 유망', '향후 흠 주가흐름에 대한 예측치 그래프', '노조 이것들 모조리 짜르고 부산이전 강행']",ai등 - hmm은 - la항 - 가까워진다는 - 강행 - 개인 - 거래일 - 계좌 - 고수의 - 국고환수,1.0,False
상폐가 답이다,1,1_ai등_hmm은_la항_가까워진다는,"['ai등', 'hmm은', 'la항', '가까워진다는', '강행', '개인', '거래일', '계좌', '고수의', '국고환수']","['HMM은 대한해운을 인수하고 AI등 유망', '향후 흠 주가흐름에 대한 예측치 그래프', '노조 이것들 모조리 짜르고 부산이전 강행']",ai등 - hmm은 - la항 - 가까워진다는 - 강행 - 개인 - 거래일 - 계좌 - 고수의 - 국고환수,0.9396986731154369,False
무슨 장난질이냐,0,0_간다_만원_이런_코스피,"['간다', '만원', '이런', '코스피', '주식', '무슨', '만주', '물타고', '자식들만', '연기금']","['이런 주식 본적있냐', '연기금 부모 자식들만 고통스럽게 죽기를', '이재명 각하 코스피 간다']",간다 - 만원 - 이런 - 코스피 - 주식 - 무슨 - 만주 - 물타고 - 자식들만 - 연기금,0.71429455577739,False
누구한테 넘기냐 만주 뭐야,0,0_간다_만원_이런_코스피,"['간다', '만원', '이런', '코스피', '주식', '무슨', '만주', '물타고', '자식들만', '연기금']","['이런 주식 본적있냐', '연기금 부모 자식들만 고통스럽게 죽기를', '이재명 각하 코스피 간다']",간다 - 만원 - 이런 - 코스피 - 주식 - 무슨 - 만주 - 물타고 - 자식들만 - 연기금,0.7691634871961625,False
종가 확 떨구네,-1,-1_민주당_민노총이_기관_정부,"['민주당', '민노총이', '기관', '정부', '외인', '종토방', '프로그램', '산하', '저는', '장마감']","['장마감 외인 기관 프로그램 매도', '하여튼 민주당 산하 기관인 민노총이 사회', '근데 민노총이 민주당 산하 기관']",민주당 - 민노총이 - 기관 - 정부 - 외인 - 종토방 - 프로그램 - 산하 - 저는 - 장마감,0.0,False
장마감 외인 기관 프로그램 매도,-1,-1_민주당_민노총이_기관_정부,"['민주당', '민노총이', '기관', '정부', '외인', '종토방', '프로그램', '산하', '저는', '장마감']","['장마감 외인 기관 프로그램 매도', '하여튼 민주당 산하 기관인 민노총이 사회', '근데 민노총이 민주당 산하 기관']",민주당 - 민노총이 - 기관 - 정부 - 외인 - 종토방 - 프로그램 - 산하 - 저는 - 장마감,0.0,True
깔끔하게 정규장 마무리로,0,0_간다_만원_이런_코스피,"['간다', '만원', '이런', '코스피', '주식', '무슨', '만주', '물타고', '자식들만', '연기금']","['이런 주식 본적있냐', '연기금 부모 자식들만 고통스럽게 죽기를', '이재명 각하 코스피 간다']",간다 - 만원 - 이런 - 코스피 - 주식 - 무슨 - 만주 - 물타고 - 자식들만 - 연기금,0.9955254843438319,False
찢극항로 되간다,0,0_간다_만원_이런_코스피,"['간다', '만원', '이런', '코스피', '주식', '무슨', '만주', '물타고', '자식들만', '연기금']","['이런 주식 본적있냐', '연기금 부모 자식들만 고통스럽게 죽기를', '이재명 각하 코스피 간다']",간다 - 만원 - 이런 - 코스피 - 주식 - 무슨 - 만주 - 물타고 - 자식들만 - 연기금,0.9006217661881335,False
아 망했네,2,2_내가_hmm_hd현대_yungg,"['내가', 'hmm', 'hd현대', 'yungg', 'hmm재무', '공매늠더라', '공매늠드라', '극좌', '그랫디', '나네']","['Hd현대 수주 덕에 hmm', '코보소님이 저에 대해 오해가 많으신데요', '공매늠드라 너거들 질알 해바야 절대 물량']",내가 - hmm - hd현대 - yungg - hmm재무 - 공매늠더라 - 공매늠드라 - 극좌 - 그랫디 - 나네,1.0,False
물타고 물타고 오늘의 평단,0,0_간다_만원_이런_코스피,"['간다', '만원', '이런', '코스피', '주식', '무슨', '만주', '물타고', '자식들만', '연기금']","['이런 주식 본적있냐', '연기금 부모 자식들만 고통스럽게 죽기를', '이재명 각하 코스피 간다']",간다 - 만원 - 이런 - 코스피 - 주식 - 무슨 - 만주 - 물타고 - 자식들만 - 연기금,0.7673790962807021,False
경거망동 해주셔야,0,0_간다_만원_이런_코스피,"['간다', '만원', '이런', '코스피', '주식', '무슨', '만주', '물타고', '자식들만', '연기금']","['이런 주식 본적있냐', '연기금 부모 자식들만 고통스럽게 죽기를', '이재명 각하 코스피 간다']",간다 - 만원 - 이런 - 코스피 - 주식 - 무슨 - 만주 - 물타고 - 자식들만 - 연기금,0.8500465352494524,False
찌질하게 빼지말고 확빼라 그냥,-1,-1_민주당_민노총이_기관_정부,"['민주당', '민노총이', '기관', '정부', '외인', '종토방', '프로그램', '산하', '저는', '장마감']","['장마감 외인 기관 프로그램 매도', '하여튼 민주당 산하 기관인 민노총이 사회', '근데 민노총이 민주당 산하 기관']",민주당 - 민노총이 - 기관 - 정부 - 외인 - 종토방 - 프로그램 - 산하 - 저는 - 장마감,0.0,False
