Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
선거철이 다가오나,-1,-1_요약_현대글로비스_ai_로봇,"['요약', '현대글로비스', 'ai', '로봇', '이상', '오늘', '많이', '내일도', '기관', '하는']","['AI 요약 현대글로비스 AUERBACH G', 'AI 요약 현대글로비스 Citi s', 'AI 요약 현대글로비스 해외지역 기관 I']",요약 - 현대글로비스 - ai - 로봇 - 이상 - 오늘 - 많이 - 내일도 - 기관 - 하는,0.0,False
배당율 면 배당금은,-1,-1_요약_현대글로비스_ai_로봇,"['요약', '현대글로비스', 'ai', '로봇', '이상', '오늘', '많이', '내일도', '기관', '하는']","['AI 요약 현대글로비스 AUERBACH G', 'AI 요약 현대글로비스 Citi s', 'AI 요약 현대글로비스 해외지역 기관 I']",요약 - 현대글로비스 - ai - 로봇 - 이상 - 오늘 - 많이 - 내일도 - 기관 - 하는,0.0,False
지배구조 안해도됨,0,0_주식_갔네요_가벼_굿뜨,"['주식', '갔네요', '가벼', '굿뜨', '긴호흡으로', '개잡주니', '개판', '꼬라지도', '꼴아박는게', '나이스']","['외인 만주 매도 뭐지', '이야 미친거네 완전 가지고 노는거네', '절대 안가는 주식 특징']",주식 - 갔네요 - 가벼 - 굿뜨 - 긴호흡으로 - 개잡주니 - 개판 - 꼬라지도 - 꼴아박는게 - 나이스,1.0,False
무빙이,1,1_물타기_갈놈은_가야_대기,"['물타기', '갈놈은', '가야', '대기', '넘어갈', '떠떠블', '깨짐', '포대기씌운후', '이집트', '매수타점']","['초반이나 밑에서는 매수할만할듯', '물타기 시작', '년 운송산업 전망 어둠 속 한줄기 빛']",물타기 - 갈놈은 - 가야 - 대기 - 넘어갈 - 떠떠블 - 깨짐 - 포대기씌운후 - 이집트 - 매수타점,0.7918430575372108,False
환율 방어 어캐하나,0,0_주식_갔네요_가벼_굿뜨,"['주식', '갔네요', '가벼', '굿뜨', '긴호흡으로', '개잡주니', '개판', '꼬라지도', '꼴아박는게', '나이스']","['외인 만주 매도 뭐지', '이야 미친거네 완전 가지고 노는거네', '절대 안가는 주식 특징']",주식 - 갔네요 - 가벼 - 굿뜨 - 긴호흡으로 - 개잡주니 - 개판 - 꼬라지도 - 꼴아박는게 - 나이스,1.0,False
뭘바래,-1,-1_요약_현대글로비스_ai_로봇,"['요약', '현대글로비스', 'ai', '로봇', '이상', '오늘', '많이', '내일도', '기관', '하는']","['AI 요약 현대글로비스 AUERBACH G', 'AI 요약 현대글로비스 Citi s', 'AI 요약 현대글로비스 해외지역 기관 I']",요약 - 현대글로비스 - ai - 로봇 - 이상 - 오늘 - 많이 - 내일도 - 기관 - 하는,0.0,False
깨짐,1,1_물타기_갈놈은_가야_대기,"['물타기', '갈놈은', '가야', '대기', '넘어갈', '떠떠블', '깨짐', '포대기씌운후', '이집트', '매수타점']","['초반이나 밑에서는 매수할만할듯', '물타기 시작', '년 운송산업 전망 어둠 속 한줄기 빛']",물타기 - 갈놈은 - 가야 - 대기 - 넘어갈 - 떠떠블 - 깨짐 - 포대기씌운후 - 이집트 - 매수타점,1.0,False
떨어지는 진짜 이유는 뭘까요,-1,-1_요약_현대글로비스_ai_로봇,"['요약', '현대글로비스', 'ai', '로봇', '이상', '오늘', '많이', '내일도', '기관', '하는']","['AI 요약 현대글로비스 AUERBACH G', 'AI 요약 현대글로비스 Citi s', 'AI 요약 현대글로비스 해외지역 기관 I']",요약 - 현대글로비스 - ai - 로봇 - 이상 - 오늘 - 많이 - 내일도 - 기관 - 하는,0.0,False
이집트,1,1_물타기_갈놈은_가야_대기,"['물타기', '갈놈은', '가야', '대기', '넘어갈', '떠떠블', '깨짐', '포대기씌운후', '이집트', '매수타점']","['초반이나 밑에서는 매수할만할듯', '물타기 시작', '년 운송산업 전망 어둠 속 한줄기 빛']",물타기 - 갈놈은 - 가야 - 대기 - 넘어갈 - 떠떠블 - 깨짐 - 포대기씌운후 - 이집트 - 매수타점,0.9077884229124105,False
헐 대박,-1,-1_요약_현대글로비스_ai_로봇,"['요약', '현대글로비스', 'ai', '로봇', '이상', '오늘', '많이', '내일도', '기관', '하는']","['AI 요약 현대글로비스 AUERBACH G', 'AI 요약 현대글로비스 Citi s', 'AI 요약 현대글로비스 해외지역 기관 I']",요약 - 현대글로비스 - ai - 로봇 - 이상 - 오늘 - 많이 - 내일도 - 기관 - 하는,0.0,False
기회가 오는가,-1,-1_요약_현대글로비스_ai_로봇,"['요약', '현대글로비스', 'ai', '로봇', '이상', '오늘', '많이', '내일도', '기관', '하는']","['AI 요약 현대글로비스 AUERBACH G', 'AI 요약 현대글로비스 Citi s', 'AI 요약 현대글로비스 해외지역 기관 I']",요약 - 현대글로비스 - ai - 로봇 - 이상 - 오늘 - 많이 - 내일도 - 기관 - 하는,0.0,False
안봐도되겠다,0,0_주식_갔네요_가벼_굿뜨,"['주식', '갔네요', '가벼', '굿뜨', '긴호흡으로', '개잡주니', '개판', '꼬라지도', '꼴아박는게', '나이스']","['외인 만주 매도 뭐지', '이야 미친거네 완전 가지고 노는거네', '절대 안가는 주식 특징']",주식 - 갔네요 - 가벼 - 굿뜨 - 긴호흡으로 - 개잡주니 - 개판 - 꼬라지도 - 꼴아박는게 - 나이스,1.0,False
자동차 산업전망,-1,-1_요약_현대글로비스_ai_로봇,"['요약', '현대글로비스', 'ai', '로봇', '이상', '오늘', '많이', '내일도', '기관', '하는']","['AI 요약 현대글로비스 AUERBACH G', 'AI 요약 현대글로비스 Citi s', 'AI 요약 현대글로비스 해외지역 기관 I']",요약 - 현대글로비스 - ai - 로봇 - 이상 - 오늘 - 많이 - 내일도 - 기관 - 하는,0.0,False
상법개정 로봇 승계 재료 다 가지고 있,-1,-1_요약_현대글로비스_ai_로봇,"['요약', '현대글로비스', 'ai', '로봇', '이상', '오늘', '많이', '내일도', '기관', '하는']","['AI 요약 현대글로비스 AUERBACH G', 'AI 요약 현대글로비스 Citi s', 'AI 요약 현대글로비스 해외지역 기관 I']",요약 - 현대글로비스 - ai - 로봇 - 이상 - 오늘 - 많이 - 내일도 - 기관 - 하는,0.0,False
이친구 어떻게되려나,2,2_고점에_그래도_꼽았네요_글로비스를,"['고점에', '그래도', '꼽았네요', '글로비스를', '납치당한거야', '남편한테', '무너뜨리겠다는', '뭐니', '너네', '니들은']","['년 버티려고 주가 안보려고하는데 그래도 퍼런불', '오늘은 제발 좀 올라라 이게 뭐니', '임마 이거 왕따인가 이리 소외되도 되나']",고점에 - 그래도 - 꼽았네요 - 글로비스를 - 납치당한거야 - 남편한테 - 무너뜨리겠다는 - 뭐니 - 너네 - 니들은,1.0,False
