Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
기자들이 왠만하면 팬은 안건드리는데,-1,-1_뉴진스_bts_팩스_무지랭이,"['뉴진스', 'bts', '팩스', '무지랭이', '민천지', '서서히', '무소식', '오늘도', '감감', '하이브']","['재깍 재깍 오늘도 감감 무소식', '오늘도 감감 무소식', '무지랭이 민천지 팩스 폭탄 내용이 어이없는 이']",뉴진스 - bts - 팩스 - 무지랭이 - 민천지 - 서서히 - 무소식 - 오늘도 - 감감 - 하이브,0.0,False
냉정하게 적정가 만원이다,1,1_하이브_방시혁_고쳐_개웃겨,"['하이브', '방시혁', '고쳐', '개웃겨', '공매맛집', '관련', '관련주', '관계자는', 'ir팀', '네이버']","['서울청 관계자는 수사와 관련 상당 부분 진행', '하이브 ir팀 번호나 이메일 아는 사람', '하이브 적자 나온건 내년도 실적을 온전히 내기']",하이브 - 방시혁 - 고쳐 - 개웃겨 - 공매맛집 - 관련 - 관련주 - 관계자는 - ir팀 - 네이버,0.7780595236882006,False
동시호가,0,0_개미_살리고_물타기_하이브,"['개미', '살리고', '물타기', '하이브', '개선은', 'seventeen', 'nxt에서도', '네바', '구간', '긍정반응']","['개미 무한 물타기', 'NXT에서도 개미 물타기', '걔네 이미지 개선은 하이브 돌들과 스스럼없이']",개미 - 살리고 - 물타기 - 하이브 - 개선은 - seventeen - nxt에서도 - 네바 - 구간 - 긍정반응,0.9647447152223386,False
이런 병,0,0_개미_살리고_물타기_하이브,"['개미', '살리고', '물타기', '하이브', '개선은', 'seventeen', 'nxt에서도', '네바', '구간', '긍정반응']","['개미 무한 물타기', 'NXT에서도 개미 물타기', '걔네 이미지 개선은 하이브 돌들과 스스럼없이']",개미 - 살리고 - 물타기 - 하이브 - 개선은 - seventeen - nxt에서도 - 네바 - 구간 - 긍정반응,1.0,False
종가에좀 담아라 떡값벌기,-1,-1_뉴진스_bts_팩스_무지랭이,"['뉴진스', 'bts', '팩스', '무지랭이', '민천지', '서서히', '무소식', '오늘도', '감감', '하이브']","['재깍 재깍 오늘도 감감 무소식', '오늘도 감감 무소식', '무지랭이 민천지 팩스 폭탄 내용이 어이없는 이']",뉴진스 - bts - 팩스 - 무지랭이 - 민천지 - 서서히 - 무소식 - 오늘도 - 감감 - 하이브,0.0,False
sock,0,0_개미_살리고_물타기_하이브,"['개미', '살리고', '물타기', '하이브', '개선은', 'seventeen', 'nxt에서도', '네바', '구간', '긍정반응']","['개미 무한 물타기', 'NXT에서도 개미 물타기', '걔네 이미지 개선은 하이브 돌들과 스스럼없이']",개미 - 살리고 - 물타기 - 하이브 - 개선은 - seventeen - nxt에서도 - 네바 - 구간 - 긍정반응,1.0,False
자꾸 삼진스 나가라는데,3,3_kusa도_가고_갔냐_같은데,"['kusa도', '가고', '갔냐', '같은데', '개미들', '그러는데', '꼬꾸라지는데', '나가라는데', '나스닥', '낙동강']","['KUSA도 점점 맛탱이 가고 있네', '낙동강 오리알이 하나만 남은거 같은데', '낙동강에 오리가 한마리 살았는데 알을 세개']",kusa도 - 가고 - 갔냐 - 같은데 - 개미들 - 그러는데 - 꼬꾸라지는데 - 나가라는데 - 나스닥 - 낙동강,1.0,False
외인이 팔아도,-1,-1_뉴진스_bts_팩스_무지랭이,"['뉴진스', 'bts', '팩스', '무지랭이', '민천지', '서서히', '무소식', '오늘도', '감감', '하이브']","['재깍 재깍 오늘도 감감 무소식', '오늘도 감감 무소식', '무지랭이 민천지 팩스 폭탄 내용이 어이없는 이']",뉴진스 - bts - 팩스 - 무지랭이 - 민천지 - 서서히 - 무소식 - 오늘도 - 감감 - 하이브,0.0,False
sock 말해봐,-1,-1_뉴진스_bts_팩스_무지랭이,"['뉴진스', 'bts', '팩스', '무지랭이', '민천지', '서서히', '무소식', '오늘도', '감감', '하이브']","['재깍 재깍 오늘도 감감 무소식', '오늘도 감감 무소식', '무지랭이 민천지 팩스 폭탄 내용이 어이없는 이']",뉴진스 - bts - 팩스 - 무지랭이 - 민천지 - 서서히 - 무소식 - 오늘도 - 감감 - 하이브,0.0,False
내년분기 까지,-1,-1_뉴진스_bts_팩스_무지랭이,"['뉴진스', 'bts', '팩스', '무지랭이', '민천지', '서서히', '무소식', '오늘도', '감감', '하이브']","['재깍 재깍 오늘도 감감 무소식', '오늘도 감감 무소식', '무지랭이 민천지 팩스 폭탄 내용이 어이없는 이']",뉴진스 - bts - 팩스 - 무지랭이 - 민천지 - 서서히 - 무소식 - 오늘도 - 감감 - 하이브,0.0,False
