Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
모지리들,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.8431059632489847,False
코스피차트랑,-1,-1_테슬라_오늘은_중국_어제,"['테슬라', '오늘은', '중국', '어제', 'lg이노텍', '오늘', '갈듯', '개나소나', '갑자기', 'bga']","['환율 상승이 LG이노텍 주가 변동에 많은', '테슬라 자율주행 전기차 화제사건', '테슬라 중국 카메라 배제']",테슬라 - 오늘은 - 중국 - 어제 - lg이노텍 - 오늘 - 갈듯 - 개나소나 - 갑자기 - bga,0.0,False
이주는,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.9730286696102082,False
매도에 대한 소회,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.8869928741623065,False
테슬라 중국 카메라 배제,-1,-1_테슬라_오늘은_중국_어제,"['테슬라', '오늘은', '중국', '어제', 'lg이노텍', '오늘', '갈듯', '개나소나', '갑자기', 'bga']","['환율 상승이 LG이노텍 주가 변동에 많은', '테슬라 자율주행 전기차 화제사건', '테슬라 중국 카메라 배제']",테슬라 - 오늘은 - 중국 - 어제 - lg이노텍 - 오늘 - 갈듯 - 개나소나 - 갑자기 - bga,0.0,True
혹시나역시나,1,1_오늘_그냥_간다_벤츠에,"['오늘', '그냥', '간다', '벤츠에', '이네', '한번', '진짜', '지수가', '살짝', '앞으로']","['초우량주가 뭔지 한번 경험해보고 싶다', '벤츠에 납품 거의 확실시 되는거 같은데', '개미가 붙어서 이제 만원 찍으러 간다']",오늘 - 그냥 - 간다 - 벤츠에 - 이네 - 한번 - 진짜 - 지수가 - 살짝 - 앞으로,1.0,False
이런,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.9049355138932057,False
외국 시궁쥐 단타 모간 출몰 조심하그라,1,1_오늘_그냥_간다_벤츠에,"['오늘', '그냥', '간다', '벤츠에', '이네', '한번', '진짜', '지수가', '살짝', '앞으로']","['초우량주가 뭔지 한번 경험해보고 싶다', '벤츠에 납품 거의 확실시 되는거 같은데', '개미가 붙어서 이제 만원 찍으러 간다']",오늘 - 그냥 - 간다 - 벤츠에 - 이네 - 한번 - 진짜 - 지수가 - 살짝 - 앞으로,0.8447451634928075,False
이노텍 문혁수 사장님 배당금 배당락 조정하세요,1,1_오늘_그냥_간다_벤츠에,"['오늘', '그냥', '간다', '벤츠에', '이네', '한번', '진짜', '지수가', '살짝', '앞으로']","['초우량주가 뭔지 한번 경험해보고 싶다', '벤츠에 납품 거의 확실시 되는거 같은데', '개미가 붙어서 이제 만원 찍으러 간다']",오늘 - 그냥 - 간다 - 벤츠에 - 이네 - 한번 - 진짜 - 지수가 - 살짝 - 앞으로,1.0,False
디시한번 이야기 한다,1,1_오늘_그냥_간다_벤츠에,"['오늘', '그냥', '간다', '벤츠에', '이네', '한번', '진짜', '지수가', '살짝', '앞으로']","['초우량주가 뭔지 한번 경험해보고 싶다', '벤츠에 납품 거의 확실시 되는거 같은데', '개미가 붙어서 이제 만원 찍으러 간다']",오늘 - 그냥 - 간다 - 벤츠에 - 이네 - 한번 - 진짜 - 지수가 - 살짝 - 앞으로,0.9901420706175874,False
LG이노텍이 잡주가 아니고,1,1_오늘_그냥_간다_벤츠에,"['오늘', '그냥', '간다', '벤츠에', '이네', '한번', '진짜', '지수가', '살짝', '앞으로']","['초우량주가 뭔지 한번 경험해보고 싶다', '벤츠에 납품 거의 확실시 되는거 같은데', '개미가 붙어서 이제 만원 찍으러 간다']",오늘 - 그냥 - 간다 - 벤츠에 - 이네 - 한번 - 진짜 - 지수가 - 살짝 - 앞으로,0.9129521266092827,False
안녕하세오,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,1.0,False
요즘,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.9491454956223551,False
오늘,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,1.0,False
분기 영업익 억 재차 상향 IM,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.8257631021165422,True
분기 영업익 억 깜짝실적예상 BNK,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.764857891322865,True
참으로 안타깝네요,-1,-1_테슬라_오늘은_중국_어제,"['테슬라', '오늘은', '중국', '어제', 'lg이노텍', '오늘', '갈듯', '개나소나', '갑자기', 'bga']","['환율 상승이 LG이노텍 주가 변동에 많은', '테슬라 자율주행 전기차 화제사건', '테슬라 중국 카메라 배제']",테슬라 - 오늘은 - 중국 - 어제 - lg이노텍 - 오늘 - 갈듯 - 개나소나 - 갑자기 - bga,0.0,False
이번주 거래 현황보면,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.9117643586413468,False
알려주까,0,0_이노텍_공매도_분기_영업익,"['이노텍', '공매도', '분기', '영업익', '실적', '징글텍', '오늘', '가자', '개노테기', 'ai']","['실적 받쳐 주고 미래 성장성 확실한 종목은', '분기 영업익 억 깜짝실적예상 BNK', '분기 영업익 억 재차 상향 IM']",이노텍 - 공매도 - 분기 - 영업익 - 실적 - 징글텍 - 오늘 - 가자 - 개노테기 - ai,0.996865114188288,False
어제 오른것도 없으면서 너는 왜 떨어지고 있는,1,1_오늘_그냥_간다_벤츠에,"['오늘', '그냥', '간다', '벤츠에', '이네', '한번', '진짜', '지수가', '살짝', '앞으로']","['초우량주가 뭔지 한번 경험해보고 싶다', '벤츠에 납품 거의 확실시 되는거 같은데', '개미가 붙어서 이제 만원 찍으러 간다']",오늘 - 그냥 - 간다 - 벤츠에 - 이네 - 한번 - 진짜 - 지수가 - 살짝 - 앞으로,1.0,False
교수형 캔들 한번 뜨고 하락,1,1_오늘_그냥_간다_벤츠에,"['오늘', '그냥', '간다', '벤츠에', '이네', '한번', '진짜', '지수가', '살짝', '앞으로']","['초우량주가 뭔지 한번 경험해보고 싶다', '벤츠에 납품 거의 확실시 되는거 같은데', '개미가 붙어서 이제 만원 찍으러 간다']",오늘 - 그냥 - 간다 - 벤츠에 - 이네 - 한번 - 진짜 - 지수가 - 살짝 - 앞으로,1.0,False
너무 저평가다,-1,-1_테슬라_오늘은_중국_어제,"['테슬라', '오늘은', '중국', '어제', 'lg이노텍', '오늘', '갈듯', '개나소나', '갑자기', 'bga']","['환율 상승이 LG이노텍 주가 변동에 많은', '테슬라 자율주행 전기차 화제사건', '테슬라 중국 카메라 배제']",테슬라 - 오늘은 - 중국 - 어제 - lg이노텍 - 오늘 - 갈듯 - 개나소나 - 갑자기 - bga,0.0,False
연기금 운영 대행 기관들,-1,-1_테슬라_오늘은_중국_어제,"['테슬라', '오늘은', '중국', '어제', 'lg이노텍', '오늘', '갈듯', '개나소나', '갑자기', 'bga']","['환율 상승이 LG이노텍 주가 변동에 많은', '테슬라 자율주행 전기차 화제사건', '테슬라 중국 카메라 배제']",테슬라 - 오늘은 - 중국 - 어제 - lg이노텍 - 오늘 - 갈듯 - 개나소나 - 갑자기 - bga,0.0,False
외인 프로그램 다 매수인데 기관넘들,1,1_오늘_그냥_간다_벤츠에,"['오늘', '그냥', '간다', '벤츠에', '이네', '한번', '진짜', '지수가', '살짝', '앞으로']","['초우량주가 뭔지 한번 경험해보고 싶다', '벤츠에 납품 거의 확실시 되는거 같은데', '개미가 붙어서 이제 만원 찍으러 간다']",오늘 - 그냥 - 간다 - 벤츠에 - 이네 - 한번 - 진짜 - 지수가 - 살짝 - 앞으로,0.9608222934881873,False
