Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
신사임당 유튜브 분전 하창봉부,-1,-1_포스코_반등_단기조정이_중기,"['포스코', '반등', '단기조정이', '중기', '조정', '아니라', '리튬', '배당', '우크라이나', '거래량']","['하나증권은 일 리튬 가격이 완만한 반등', '단기조정이 아니라 중기 조정', '이번 조정은 단기조정이 아니라 중기 조정']",포스코 - 반등 - 단기조정이 - 중기 - 조정 - 아니라 - 리튬 - 배당 - 우크라이나 - 거래량,0.0,False
허탈 하지만 마음 비우고,0,0_장인화_여기_떨어질때는_손절하고,"['장인화', '여기', '떨어질때는', '손절하고', '포홀', '신한', '연기금이', '포홀은', '같이', '기관']","['연기금이 장인화 찬성하고', '장인화 회장님 자리 보존할라고 언론 플레이 하', '신용 점마 저거 매매하는게 바보 같이 하내']",장인화 - 여기 - 떨어질때는 - 손절하고 - 포홀 - 신한 - 연기금이 - 포홀은 - 같이 - 기관,1.0,False
금투 연기금,1,1_연기금_매수_포스코_개신한과,"['연기금', '매수', '포스코', '개신한과', '두마리', '공매', '국찜대표', '공매세력은', '급등이다', '금투']","['연기금 매수', '전세계 증시 조정장 돌입', '공매세력은 우리보다 정보력 빠르다']",연기금 - 매수 - 포스코 - 개신한과 - 두마리 - 공매 - 국찜대표 - 공매세력은 - 급등이다 - 금투,1.0,False
고철 폐기물것들,-1,-1_포스코_반등_단기조정이_중기,"['포스코', '반등', '단기조정이', '중기', '조정', '아니라', '리튬', '배당', '우크라이나', '거래량']","['하나증권은 일 리튬 가격이 완만한 반등', '단기조정이 아니라 중기 조정', '이번 조정은 단기조정이 아니라 중기 조정']",포스코 - 반등 - 단기조정이 - 중기 - 조정 - 아니라 - 리튬 - 배당 - 우크라이나 - 거래량,0.0,False
종가 답나왔네,0,0_장인화_여기_떨어질때는_손절하고,"['장인화', '여기', '떨어질때는', '손절하고', '포홀', '신한', '연기금이', '포홀은', '같이', '기관']","['연기금이 장인화 찬성하고', '장인화 회장님 자리 보존할라고 언론 플레이 하', '신용 점마 저거 매매하는게 바보 같이 하내']",장인화 - 여기 - 떨어질때는 - 손절하고 - 포홀 - 신한 - 연기금이 - 포홀은 - 같이 - 기관,1.0,False
좌스코홀딩스 배당먹으려고 들어오면,0,0_장인화_여기_떨어질때는_손절하고,"['장인화', '여기', '떨어질때는', '손절하고', '포홀', '신한', '연기금이', '포홀은', '같이', '기관']","['연기금이 장인화 찬성하고', '장인화 회장님 자리 보존할라고 언론 플레이 하', '신용 점마 저거 매매하는게 바보 같이 하내']",장인화 - 여기 - 떨어질때는 - 손절하고 - 포홀 - 신한 - 연기금이 - 포홀은 - 같이 - 기관,1.0,False
종가,1,1_연기금_매수_포스코_개신한과,"['연기금', '매수', '포스코', '개신한과', '두마리', '공매', '국찜대표', '공매세력은', '급등이다', '금투']","['연기금 매수', '전세계 증시 조정장 돌입', '공매세력은 우리보다 정보력 빠르다']",연기금 - 매수 - 포스코 - 개신한과 - 두마리 - 공매 - 국찜대표 - 공매세력은 - 급등이다 - 금투,0.9736744255886421,False
철강 리튬등 다 좋아지고 있는데,-1,-1_포스코_반등_단기조정이_중기,"['포스코', '반등', '단기조정이', '중기', '조정', '아니라', '리튬', '배당', '우크라이나', '거래량']","['하나증권은 일 리튬 가격이 완만한 반등', '단기조정이 아니라 중기 조정', '이번 조정은 단기조정이 아니라 중기 조정']",포스코 - 반등 - 단기조정이 - 중기 - 조정 - 아니라 - 리튬 - 배당 - 우크라이나 - 거래량,0.0,False
망한기업,1,1_연기금_매수_포스코_개신한과,"['연기금', '매수', '포스코', '개신한과', '두마리', '공매', '국찜대표', '공매세력은', '급등이다', '금투']","['연기금 매수', '전세계 증시 조정장 돌입', '공매세력은 우리보다 정보력 빠르다']",연기금 - 매수 - 포스코 - 개신한과 - 두마리 - 공매 - 국찜대표 - 공매세력은 - 급등이다 - 금투,1.0,False
하락기,3,3_배당_매수_경제_갭투자,"['배당', '매수', '경제', '갭투자', '매수금지', '손실율', '예상됨', '손실위', '비참하다', '손실']","['배당 매수', '이번 경제 특사도 제외', '분기 배당 월 일까지 매수 해야됨']",배당 - 매수 - 경제 - 갭투자 - 매수금지 - 손실율 - 예상됨 - 손실위 - 비참하다 - 손실,1.0,False
