Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
도둑들 소굴 같다 어느 곳에,0,0_신한_오늘_신한지주_기분이,"['신한', '오늘', '신한지주', '기분이', '장전에', '기타법인', '외인', '진짜', '만원', '실적']","['어제 파신분들은 기분이 안좋으실거 같은데 말이', '외인 기관 개인이 기타법인 하나를 못이기네', '실적장세 시작으로 실적 깡패인 신한 신고가는']",신한 - 오늘 - 신한지주 - 기분이 - 장전에 - 기타법인 - 외인 - 진짜 - 만원 - 실적,0.7539645237747333,False
이것은 뭐하는거고,0,0_신한_오늘_신한지주_기분이,"['신한', '오늘', '신한지주', '기분이', '장전에', '기타법인', '외인', '진짜', '만원', '실적']","['어제 파신분들은 기분이 안좋으실거 같은데 말이', '외인 기관 개인이 기타법인 하나를 못이기네', '실적장세 시작으로 실적 깡패인 신한 신고가는']",신한 - 오늘 - 신한지주 - 기분이 - 장전에 - 기타법인 - 외인 - 진짜 - 만원 - 실적,0.7502435389367581,False
신한지주 주가,1,1_주가_진짜_신한_있다만,"['주가', '진짜', '신한', '있다만', '거즈아', 'sto스테이블코인', '고고합니다', '데리고', '말입니다', '꿈도크다']","['일선 저항 매도', '신한지주 주가', '신한 주가 어디로']",주가 - 진짜 - 신한 - 있다만 - 거즈아 - sto스테이블코인 - 고고합니다 - 데리고 - 말입니다 - 꿈도크다,0.7019454263553648,True
일선 저항 매도,1,1_주가_진짜_신한_있다만,"['주가', '진짜', '신한', '있다만', '거즈아', 'sto스테이블코인', '고고합니다', '데리고', '말입니다', '꿈도크다']","['일선 저항 매도', '신한지주 주가', '신한 주가 어디로']",주가 - 진짜 - 신한 - 있다만 - 거즈아 - sto스테이블코인 - 고고합니다 - 데리고 - 말입니다 - 꿈도크다,0.930271485301666,True
신한오사카지주 장전 강함,-1,-1_신한지주_관세협상_요약_일본신한지주,"['신한지주', '관세협상', '요약', '일본신한지주', '공매도', '무너뜨린', '배당', '오늘은', '분리과세', '우리']","['신한지주 분기 컨콜 리포트 리뷰', '월 자사주 소각 배당 분리과세', 'AI 요약 신한지주 Morgan S']",신한지주 - 관세협상 - 요약 - 일본신한지주 - 공매도 - 무너뜨린 - 배당 - 오늘은 - 분리과세 - 우리,0.0,False
오늘 폭등하는 날임,-1,-1_신한지주_관세협상_요약_일본신한지주,"['신한지주', '관세협상', '요약', '일본신한지주', '공매도', '무너뜨린', '배당', '오늘은', '분리과세', '우리']","['신한지주 분기 컨콜 리포트 리뷰', '월 자사주 소각 배당 분리과세', 'AI 요약 신한지주 Morgan S']",신한지주 - 관세협상 - 요약 - 일본신한지주 - 공매도 - 무너뜨린 - 배당 - 오늘은 - 분리과세 - 우리,0.0,False
세대는 이재명대통령 정치에 분노한다,-1,-1_신한지주_관세협상_요약_일본신한지주,"['신한지주', '관세협상', '요약', '일본신한지주', '공매도', '무너뜨린', '배당', '오늘은', '분리과세', '우리']","['신한지주 분기 컨콜 리포트 리뷰', '월 자사주 소각 배당 분리과세', 'AI 요약 신한지주 Morgan S']",신한지주 - 관세협상 - 요약 - 일본신한지주 - 공매도 - 무너뜨린 - 배당 - 오늘은 - 분리과세 - 우리,0.0,False
코인 조심해야 안전,0,0_신한_오늘_신한지주_기분이,"['신한', '오늘', '신한지주', '기분이', '장전에', '기타법인', '외인', '진짜', '만원', '실적']","['어제 파신분들은 기분이 안좋으실거 같은데 말이', '외인 기관 개인이 기타법인 하나를 못이기네', '실적장세 시작으로 실적 깡패인 신한 신고가는']",신한 - 오늘 - 신한지주 - 기분이 - 장전에 - 기타법인 - 외인 - 진짜 - 만원 - 실적,0.9188468173453211,False
이재명 청년들 미래 위해 그만둬야,0,0_신한_오늘_신한지주_기분이,"['신한', '오늘', '신한지주', '기분이', '장전에', '기타법인', '외인', '진짜', '만원', '실적']","['어제 파신분들은 기분이 안좋으실거 같은데 말이', '외인 기관 개인이 기타법인 하나를 못이기네', '실적장세 시작으로 실적 깡패인 신한 신고가는']",신한 - 오늘 - 신한지주 - 기분이 - 장전에 - 기타법인 - 외인 - 진짜 - 만원 - 실적,1.0,False
실적장세 시작으로 실적 깡패인 신한 신고가는,0,0_신한_오늘_신한지주_기분이,"['신한', '오늘', '신한지주', '기분이', '장전에', '기타법인', '외인', '진짜', '만원', '실적']","['어제 파신분들은 기분이 안좋으실거 같은데 말이', '외인 기관 개인이 기타법인 하나를 못이기네', '실적장세 시작으로 실적 깡패인 신한 신고가는']",신한 - 오늘 - 신한지주 - 기분이 - 장전에 - 기타법인 - 외인 - 진짜 - 만원 - 실적,0.8888470212678151,True
버티고는 있다만,1,1_주가_진짜_신한_있다만,"['주가', '진짜', '신한', '있다만', '거즈아', 'sto스테이블코인', '고고합니다', '데리고', '말입니다', '꿈도크다']","['일선 저항 매도', '신한지주 주가', '신한 주가 어디로']",주가 - 진짜 - 신한 - 있다만 - 거즈아 - sto스테이블코인 - 고고합니다 - 데리고 - 말입니다 - 꿈도크다,1.0,False
국가 백년대계를 다시 짤 새로운 지도자 필요해,0,0_신한_오늘_신한지주_기분이,"['신한', '오늘', '신한지주', '기분이', '장전에', '기타법인', '외인', '진짜', '만원', '실적']","['어제 파신분들은 기분이 안좋으실거 같은데 말이', '외인 기관 개인이 기타법인 하나를 못이기네', '실적장세 시작으로 실적 깡패인 신한 신고가는']",신한 - 오늘 - 신한지주 - 기분이 - 장전에 - 기타법인 - 외인 - 진짜 - 만원 - 실적,0.9351505253990154,False
현주가는 배당이 프로다,0,0_신한_오늘_신한지주_기분이,"['신한', '오늘', '신한지주', '기분이', '장전에', '기타법인', '외인', '진짜', '만원', '실적']","['어제 파신분들은 기분이 안좋으실거 같은데 말이', '외인 기관 개인이 기타법인 하나를 못이기네', '실적장세 시작으로 실적 깡패인 신한 신고가는']",신한 - 오늘 - 신한지주 - 기분이 - 장전에 - 기타법인 - 외인 - 진짜 - 만원 - 실적,0.7840422948642619,False
년차 상위 투자자로 D증권 출신 맥,2,2_은행_은행주_년차_증권,"['은행', '은행주', '년차', '증권', '하라', '증권사', '정부는', '금융주가', '금융지주좀', 'd증권']","['정부는 증권사 스팩상장폐지 하라', '대금융 이익 ROE 비교 년차 주주', '정부는 증권사 스팩상장 폐지 하라']",은행 - 은행주 - 년차 - 증권 - 하라 - 증권사 - 정부는 - 금융주가 - 금융지주좀 - d증권,1.0,False
